card_code,level,qr_url
YC3KJP,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=YC3KJP
PNEYH9,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=PNEYH9
CTX68N,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=CTX68N
ADRKEX,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=ADRKEX
NAC936,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=NAC936
HGDPJA,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=HGDPJA
BATQW2,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=BATQW2
XZVVVC,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=XZVVVC
ZJDSP5,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=ZJDSP5
XEAR5M,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=XEAR5M
MQE6Y6,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=MQE6Y6
FQQZTP,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=FQQZTP
XTH8NA,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=XTH8NA
MDQYG4,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=MDQYG4
C8VE9F,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=C8VE9F
VP92RG,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=VP92RG
W7CQZ7,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=W7CQZ7
HMP6RF,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=HMP6RF
R9VMSW,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=R9VMSW
D2XVXM,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=D2XVXM
QK9GTG,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=QK9GTG
FDG776,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=FDG776
TRCCQZ,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=TRCCQZ
WDPY8Q,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=WDPY8Q
A87YMP,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=A87YMP
K2PYRD,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=K2PYRD
YFWDHP,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=YFWDHP
TVR95Y,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=TVR95Y
V5FFRS,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=V5FFRS
D7EBKF,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=D7EBKF
G9EMJY,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=G9EMJY
NRAVEK,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=NRAVEK
X72DTK,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=X72DTK
HXW7NC,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=HXW7NC
JVFR57,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=JVFR57
M3FX49,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=M3FX49
AW2TEQ,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=AW2TEQ
ENDBBJ,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=ENDBBJ
DDVK93,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=DDVK93
D4XFKY,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=D4XFKY
JE734T,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=JE734T
D4DR33,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=D4DR33
F4V65E,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=F4V65E
TGHKDB,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=TGHKDB
S34NNW,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=S34NNW
NTQGSW,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=NTQGSW
P7DCFC,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=P7DCFC
XC8QQ8,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=XC8QQ8
KGBPXT,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=KGBPXT
QYPHDQ,2,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=QYPHDQ
