card_code,level,qr_url
NQFFBJ,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=NQFFBJ
BCCEBF,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=BCCEBF
Y23G8K,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=Y23G8K
JHEXK3,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=JHEXK3
Z96G4P,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=Z96G4P
NDZXSK,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=NDZXSK
BTEVE2,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=BTEVE2
YTPZJW,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=YTPZJW
TQVNRQ,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=TQVNRQ
K8N6A2,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=K8N6A2
A4GA2Q,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=A4GA2Q
PCWZGS,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=PCWZGS
V9TNYK,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=V9TNYK
E5VPVQ,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=E5VPVQ
TGYRW5,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=TGYRW5
G5KZPY,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=G5KZPY
W2DM2Q,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=W2DM2Q
VJER85,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=VJER85
PTN2R8,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=PTN2R8
VSJW44,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=VSJW44
APK2QV,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=APK2QV
MQY39Q,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=MQY39Q
XDXC74,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=XDXC74
BGKV4V,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=BGKV4V
TGGZJ3,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=TGGZJ3
A25H8Z,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=A25H8Z
MVM7MZ,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=MVM7MZ
JADF49,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=JADF49
E8YBMN,5,https://script.google.com/macros/s/AKfycbxOlVjCakeDlBVh1_uh6BrL3fNKO2M1FVnuRIFFjEx2H_fpuHVq4uJwO68b_JOY8xM7/exec?card=E8YBMN
